,0,1,2,3
496,3,0,0,0
497,1,2,0,2
498,5,0,0,0
499,5,0,2,0
500,1,0,1,2
501,0,0,0,2
502,0,0,0,2
503,1,2,0,0
504,3,1,0,0
505,0,1,0,0
506,1,0,0,1
507,0,0,1,1
508,0,0,0,1
509,1,2,0,0
510,2,0,2,2
511,0,0,0,2
512,0,1,0,3
513,1,0,1,0
514,0,0,0,0
515,0,0,0,0
516,0,0,1,0
517,0,0,0,1
518,0,0,0,0
519,0,1,0,2
520,1,1,1,2
521,0,3,0,2
522,2,1,0,0
523,0,2,0,0
524,1,0,0,0
525,0,0,2,0
526,3,0,0,1
527,2,0,0,1
528,0,1,0,1
529,4,0,0,0
530,2,2,0,1
531,1,2,0,1
532,2,0,0,0
533,0,0,0,0
534,0,0,2,1
535,0,0,3,1
536,2,0,2,1
537,3,0,0,1
538,2,2,0,1
539,1,2,0,3
540,3,0,0,0
541,0,0,1,0
542,0,0,0,1
543,2,0,0,0
544,0,0,1,1
545,0,0,0,1
546,1,0,0,0
547,0,0,0,0
548,0,0,1,0
549,5,1,0,0
550,1,1,0,0
551,2,3,0,0
552,0,3,0,0
553,2,0,0,0
554,4,0,0,2
555,0,1,2,4
556,2,1,0,5
557,3,0,0,0
558,4,2,0,0
559,0,2,2,0
560,0,2,0,0
561,1,0,1,0
562,0,0,0,2
563,0,1,2,1
564,0,0,0,2
565,4,0,0,0
566,0,0,0,1
567,1,0,0,1
568,0,1,0,1
569,3,0,0,0
570,1,1,0,1
571,1,1,1,1
572,2,1,1,1
573,0,1,0,1
574,1,0,0,0
575,2,2,0,1
576,0,2,0,1
577,0,0,0,0
578,1,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,1
582,1,0,2,0
583,0,1,0,0
584,0,0,0,2
585,0,3,0,2
586,0,0,1,1
587,0,0,0,1
588,2,0,0,1
589,0,0,0,1
590,2,0,0,3
591,0,0,0,3
592,1,0,1,0
593,0,0,1,0
594,0,2,0,0
595,2,0,1,2
596,0,2,0,2
597,0,0,0,0
598,0,0,0,1
599,0,0,0,1
600,1,0,1,0
601,0,0,0,0
602,0,0,0,0
603,0,0,2,0
604,1,3,1,1
605,0,1,1,1
606,0,0,2,0
607,0,0,0,0
608,0,0,0,0
609,0,0,0,0
610,0,0,0,1
611,2,0,1,0
612,2,0,0,0
613,0,1,1,0
614,1,2,0,1
615,2,0,0,0
616,0,1,0,2
617,1,0,1,0
618,0,0,0,0
619,0,0,0,0
620,3,0,0,1
621,3,0,1,1
622,2,0,0,1
623,2,0,0,1
624,1,1,0,1
625,4,0,2,0
626,0,0,1,2
627,0,0,3,4
628,0,0,2,4
629,3,0,0,6
630,5,1,0,0
631,5,0,0,0
632,0,1,0,0
633,0,1,1,0
634,0,3,0,0
635,0,0,2,1
636,3,0,0,3
637,0,0,0,3
638,5,0,2,0
639,0,0,0,0
640,0,1,0,0
641,1,0,0,0
642,0,0,0,0
643,1,0,0,0
644,0,0,0,4
645,1,2,1,0
646,2,0,1,0
647,0,1,0,0
648,0,0,2,2
649,0,0,1,2
